t NoGP OffGP ET TT 
1.5100000000 0.6484935951 0.5623931607 0.5302075475 0.5305951933 
1.5200000000 0.6369450950 0.5522718547 0.5222033464 0.5223760015 
1.5300000000 0.6255724420 0.5423106829 0.5142373089 0.5142265644 
1.5400000000 0.6143723333 0.5325221270 0.5063093735 0.5060778339 
1.5500000000 0.6033323515 0.5228794745 0.4983937537 0.4979664414 
1.5600000000 0.5924774065 0.5133829894 0.4905160431 0.4899138520 
1.5700000000 0.5818189945 0.5040598877 0.4826761676 0.4818985470 
1.5800000000 0.5713299963 0.4948827020 0.4748740484 0.4739204743 
1.5900000000 0.5610135674 0.4858480243 0.4671096021 0.4660012191 
1.6000000000 0.5509278398 0.4769855508 0.4593863421 0.4581083414 
1.6100000000 0.5410317190 0.4682499975 0.4517222643 0.4507363464 
1.6200000000 0.5313416848 0.4596691863 0.4441217077 0.4434028038 
1.6300000000 0.5218602220 0.4512401557 0.4365477862 0.4361337673 
1.6400000000 0.5125897139 0.4429614721 0.4290111883 0.4288923328 
1.6500000000 0.5035409159 0.4348477528 0.4215416276 0.4217294220 
1.6600000000 0.4946985858 0.4268528322 0.4141091749 0.4145718758 
1.6700000000 0.4860736173 0.4190176061 0.4067514716 0.4074785211 
1.6800000000 0.4776633744 0.4113256544 0.3994712969 0.4004123537 
1.6900000000 0.4694741885 0.4037481509 0.3926520494 0.3934240856 
1.7000000000 0.4615226584 0.3963113065 0.3858648332 0.3864893294 
1.7100000000 0.4537986255 0.3889987073 0.3791422005 0.3795961687 
1.7200000000 0.4463031382 0.3818151770 0.3724652492 0.3727701005 
1.7300000000 0.4390481167 0.3747685126 0.3658525294 0.3659973545 
1.7400000000 0.4319964614 0.3678417996 0.3592849930 0.3592914866 
1.7500000000 0.4251755385 0.3610489861 0.3527710791 0.3526163945 
1.7600000000 0.4185999116 0.3543730271 0.3463152670 0.3459944541 
1.7700000000 0.4122464525 0.3478279409 0.3399265809 0.3394660491 
1.7800000000 0.4061264610 0.3413857066 0.3335688119 0.3329681057 
1.7900000000 0.4002219475 0.3351103524 0.3273048814 0.3265363948 
1.8000000000 0.3945493632 0.3289302257 0.3210715606 0.3201846338 
1.8100000000 0.3890992211 0.3228880442 0.3149185595 0.3141674889 
1.8200000000 0.3838730183 0.3169442942 0.3088091829 0.3082087320 
1.8300000000 0.3788658435 0.3111317014 0.3027473475 0.3023213038 
1.8400000000 0.3740784162 0.3054251075 0.2967788559 0.2964873954 
1.8500000000 0.3695089170 0.2998385130 0.2908676415 0.2907146961 
1.8600000000 0.3651534812 0.2943808496 0.2849991630 0.2849998627 
1.8700000000 0.3609926462 0.2890449878 0.2792008381 0.2793554737 
1.8800000000 0.3570494832 0.2838364342 0.2734723736 0.2737591181 
1.8900000000 0.3533095775 0.2787543966 0.2677910243 0.2682327745 
1.9000000000 0.3497517058 0.2737653920 0.2624251978 0.2627636247 
1.9100000000 0.3463963536 0.2689027778 0.2571355542 0.2573546229 
1.9200000000 0.3432198380 0.2641565639 0.2519164792 0.2519932614 
1.9300000000 0.3402402877 0.2595098357 0.2467225143 0.2467288641 
1.9400000000 0.3374229087 0.2550126076 0.2415984898 0.2415119106 
1.9500000000 0.3347703782 0.2506068415 0.2365504301 0.2363311282 
1.9600000000 0.3322887227 0.2463491222 0.2315717595 0.2312346524 
1.9700000000 0.3299615223 0.2421884850 0.2266455395 0.2261972668 
1.9800000000 0.3277939494 0.2381510665 0.2217790850 0.2212350237 
1.9900000000 0.3257696963 0.2342030782 0.2169768045 0.2163597745 
