t NoGP OffGP ET TT 
18.7300000000 0.2870671611 0.1524864732 0.0096317830 0.0078805981 
18.7400000000 0.2863498631 0.1525128776 0.0096231668 0.0078506721 
18.7500000000 0.2856314218 0.1525360074 0.0096124762 0.0078026945 
18.7600000000 0.2849140714 0.1525597172 0.0096062059 0.0077611032 
18.7700000000 0.2842037980 0.1525770135 0.0095864285 0.0077251187 
18.7800000000 0.2834871606 0.1525944229 0.0095695577 0.0076853843 
18.7900000000 0.2827780491 0.1526083947 0.0095567025 0.0076466355 
18.8000000000 0.2820669172 0.1526193980 0.0095299684 0.0076088969 
18.8100000000 0.2813514324 0.1526269151 0.0095005863 0.0076149339 
18.8200000000 0.2806385003 0.1526271976 0.0094684475 0.0076180124 
18.8300000000 0.2799207517 0.1526206289 0.0094408087 0.0076195992 
18.8400000000 0.2792118130 0.1526109163 0.0094000429 0.0076253724 
18.8500000000 0.2784985025 0.1525977181 0.0093575001 0.0076224472 
18.8600000000 0.2777943291 0.1525831198 0.0093213748 0.0076152582 
18.8700000000 0.2770823046 0.1525609113 0.0092845055 0.0076034085 
18.8800000000 0.2763798680 0.1525352969 0.0092472720 0.0075730795 
18.8900000000 0.2756740100 0.1525064954 0.0092101678 0.0075617918 
18.9000000000 0.2749732752 0.1524698441 0.0091944149 0.0075499736 
18.9100000000 0.2742696555 0.1524301041 0.0091712557 0.0075319842 
18.9200000000 0.2735723343 0.1523880455 0.0091507825 0.0074938863 
18.9300000000 0.2728725981 0.1523429655 0.0091340298 0.0074496286 
18.9400000000 0.2721834681 0.1522947372 0.0091187998 0.0074060771 
18.9500000000 0.2714921938 0.1522389866 0.0091247711 0.0073746619 
18.9600000000 0.2707997106 0.1521811994 0.0091414385 0.0073373119 
18.9700000000 0.2701129372 0.1521161846 0.0091479458 0.0072943999 
18.9800000000 0.2694261022 0.1520479675 0.0091518595 0.0072631585 
18.9900000000 0.2687382198 0.1519732062 0.0091556385 0.0072264758 
19.0000000000 0.2680570729 0.1518962706 0.0091549208 0.0071815509 
19.0100000000 0.2673752424 0.1518130745 0.0091487357 0.0071778312 
19.0200000000 0.2666889774 0.1517281173 0.0091517729 0.0071852668 
19.0300000000 0.2660100809 0.1516410835 0.0091489341 0.0071864439 
19.0400000000 0.2653313116 0.1515480079 0.0091380696 0.0071981977 
19.0500000000 0.2646581302 0.1514536044 0.0091350938 0.0071878736 
19.0600000000 0.2639805014 0.1513536077 0.0091233984 0.0071679566 
19.0700000000 0.2633048388 0.1512528967 0.0091193396 0.0071567088 
19.0800000000 0.2626371663 0.1511514355 0.0091000878 0.0071344644 
19.0900000000 0.2619707488 0.1510449256 0.0090754702 0.0071200369 
19.1000000000 0.2613057474 0.1509340095 0.0090412394 0.0070933690 
19.1100000000 0.2606374065 0.1508233780 0.0090142876 0.0070737294 
19.1200000000 0.2599719841 0.1507129307 0.0089778188 0.0070260895 
19.1300000000 0.2593088556 0.1505984051 0.0089487357 0.0069851127 
19.1400000000 0.2586481371 0.1504848201 0.0089107101 0.0069503959 
19.1500000000 0.2579966673 0.1503680421 0.0088805353 0.0069022206 
19.1600000000 0.2573434112 0.1502484618 0.0088581842 0.0068602456 
19.1700000000 0.2566931136 0.1501299888 0.0088283848 0.0068054172 
19.1800000000 0.2560457115 0.1500134099 0.0088000710 0.0067573056 
19.1900000000 0.2554016069 0.1498947991 0.0087802137 0.0067159102 
19.2000000000 0.2547516222 0.1497745425 0.0087549403 0.0066760799 
19.2100000000 0.2541104000 0.1496563652 0.0087398954 0.0066730009 
19.2200000000 0.2534679887 0.1495371685 0.0087250693 0.0066761839 
19.2300000000 0.2528345558 0.1494209300 0.0087114673 0.0066846656 
19.2400000000 0.2521958908 0.1493040328 0.0086959991 0.0066975158 
19.2500000000 0.2515505643 0.1491868395 0.0087010664 0.0066935801 
19.2600000000 0.2509151764 0.1490726240 0.0086825358 0.0066917996 
19.2700000000 0.2502755337 0.1489585164 0.0086651569 0.0066879775 
19.2800000000 0.2496461221 0.1488452598 0.0086566121 0.0066852028 
19.2900000000 0.2490170640 0.1487362640 0.0086463638 0.0066827617 
19.3000000000 0.2483931493 0.1486283568 0.0086288944 0.0066639014 
19.3100000000 0.2477707692 0.1485218437 0.0086170657 0.0066443170 
19.3200000000 0.2471478034 0.1484192949 0.0086099063 0.0065996190 
19.3300000000 0.2465260693 0.1483188327 0.0085985475 0.0065508312 
19.3400000000 0.2459109914 0.1482233163 0.0085842258 0.0065166696 
19.3500000000 0.2452974498 0.1481275176 0.0085602160 0.0064807980 
19.3600000000 0.2446855755 0.1480344547 0.0085379652 0.0064434025 
19.3700000000 0.2440741495 0.1479465647 0.0085099975 0.0063980181 
19.3800000000 0.2434657598 0.1478616629 0.0084827353 0.0063508421 
19.3900000000 0.2428639525 0.1477817550 0.0084556344 0.0063228681 
19.4000000000 0.2422588028 0.1477050356 0.0084455452 0.0062891327 
19.4100000000 0.2416564353 0.1476300509 0.0084285126 0.0063024387 
19.4200000000 0.2410620442 0.1475609052 0.0084053454 0.0063136562 
19.4300000000 0.2404649862 0.1474955527 0.0083941730 0.0063210954 
19.4400000000 0.2398753311 0.1474342693 0.0083753419 0.0063205160 
19.4500000000 0.2392845548 0.1473770748 0.0083550012 0.0063139441 
19.4600000000 0.2386959682 0.1473241049 0.0083390153 0.0063205211 
19.4700000000 0.2381111192 0.1472767572 0.0083210043 0.0063177127 
19.4800000000 0.2375287957 0.1472325394 0.0083012003 0.0063064543 
19.4900000000 0.2369513709 0.1471931171 0.0082733410 0.0062841188 
19.5000000000 0.2363767302 0.1471584777 0.0082558553 0.0062753438 
19.5100000000 0.2358063421 0.1471287635 0.0082299296 0.0062545459 
19.5200000000 0.2352308280 0.1471046329 0.0082031259 0.0062215890 
19.5300000000 0.2346640402 0.1470844545 0.0081790973 0.0062012528 
19.5400000000 0.2340969299 0.1470691374 0.0081545972 0.0061678838 
19.5500000000 0.2335386600 0.1470586693 0.0081228460 0.0061450747 
19.5600000000 0.2329760063 0.1470532943 0.0081131857 0.0061084963 
19.5700000000 0.2324224682 0.1470525087 0.0080959418 0.0060607574 
19.5800000000 0.2318692604 0.1470570983 0.0080959609 0.0060378393 
19.5900000000 0.2313209116 0.1470662193 0.0080816863 0.0060036011 
19.6000000000 0.2307732606 0.1470804072 0.0080854430 0.0059785615 
19.6100000000 0.2302302184 0.1470995557 0.0080752284 0.0059559398 
19.6200000000 0.2296930289 0.1471237396 0.0080695195 0.0059445997 
19.6300000000 0.2291562175 0.1471532825 0.0080482397 0.0059406292 
19.6400000000 0.2286208457 0.1471874914 0.0080363103 0.0059216359 
19.6500000000 0.2280952379 0.1472265659 0.0080413614 0.0059070434 
19.6600000000 0.2275617498 0.1472704965 0.0080315113 0.0058740513 
19.6700000000 0.2270338685 0.1473190301 0.0080296166 0.0058473232 
19.6800000000 0.2265082643 0.1473720539 0.0080412260 0.0058241297 
19.6900000000 0.2259886890 0.1474304772 0.0080404629 0.0057814791 
19.7000000000 0.2254715703 0.1474933321 0.0080450235 0.0057604017 
19.7100000000 0.2249604027 0.1475604312 0.0080552413 0.0057422073 
19.7200000000 0.2244519486 0.1476320833 0.0080498355 0.0057259316 
19.7300000000 0.2239403780 0.1477074994 0.0080478049 0.0056878141 
19.7400000000 0.2234363907 0.1477887835 0.0080520868 0.0056509859 
19.7500000000 0.2229387978 0.1478746780 0.0080556649 0.0056154284 
19.7600000000 0.2224402825 0.1479641563 0.0080610288 0.0055816062 
19.7700000000 0.2219434759 0.1480568698 0.0080837722 0.0055479952 
19.7800000000 0.2214505275 0.1481534162 0.0080836789 0.0055329437 
19.7900000000 0.2209645906 0.1482554938 0.0080861898 0.0054938861 
19.8000000000 0.2204784892 0.1483603835 0.0080883462 0.0054536849 
19.8100000000 0.2199946907 0.1484697113 0.0080879477 0.0054424837 
19.8200000000 0.2195153971 0.1485834579 0.0080862949 0.0054293642 
19.8300000000 0.2190394884 0.1487006330 0.0080829092 0.0054147460 
19.8400000000 0.2185671558 0.1488208170 0.0080758284 0.0053977389 
19.8500000000 0.2181023823 0.1489425161 0.0080678623 0.0053778123 
19.8600000000 0.2176382170 0.1490677496 0.0080570506 0.0053542814 
19.8700000000 0.2171732897 0.1491964018 0.0080414798 0.0053447364 
19.8800000000 0.2167137893 0.1493323189 0.0080223174 0.0053558696 
19.8900000000 0.2162576043 0.1494683197 0.0079975569 0.0053612939 
19.9000000000 0.2158056020 0.1496073247 0.0079922648 0.0053601142 
19.9100000000 0.2153592352 0.1497505297 0.0079984625 0.0053512212 
19.9200000000 0.2149163046 0.1498966387 0.0079997236 0.0053343462 
19.9300000000 0.2144751752 0.1500454338 0.0079936694 0.0053090600 
19.9400000000 0.2140377675 0.1501937943 0.0079819889 0.0053023740 
19.9500000000 0.2136088099 0.1503455298 0.0079646588 0.0052864040 
19.9600000000 0.2131809859 0.1504992009 0.0079635419 0.0052622811 
19.9700000000 0.2127545909 0.1506578557 0.0079563770 0.0052492341 
19.9800000000 0.2123299536 0.1508196873 0.0079402254 0.0052530543 
19.9900000000 0.2119142282 0.1509831523 0.0079424993 0.0052455622 
20.0000000000 0.2115025024 0.1511447448 0.0079351490 0.0052276558 
20.0100000000 0.2110887527 0.1513121934 0.0078887508 0.0052186473 
20.0200000000 0.2106811155 0.1514805710 0.0078588064 0.0051974563 
20.0300000000 0.2102758088 0.1516495252 0.0078222376 0.0051920546 
20.0400000000 0.2098758944 0.1518202883 0.0077774706 0.0051724002 
20.0500000000 0.2094805143 0.1519949702 0.0077472468 0.0051373887 
20.0600000000 0.2090893854 0.1521696487 0.0077066799 0.0051404002 
20.0700000000 0.2087029567 0.1523420762 0.0076796406 0.0051266450 
20.0800000000 0.2083174625 0.1525176886 0.0076398783 0.0051259282 
20.0900000000 0.2079366874 0.1526953329 0.0076124556 0.0051065093 
20.1000000000 0.2075608707 0.1528761793 0.0075896873 0.0050944499 
20.1100000000 0.2071898978 0.1530559919 0.0075779774 0.0050991483 
20.1200000000 0.2068158952 0.1532401557 0.0075773184 0.0050828020 
20.1300000000 0.2064516003 0.1534229064 0.0075595756 0.0050767747 
20.1400000000 0.2060923083 0.1536094066 0.0075514237 0.0050481903 
20.1500000000 0.2057339622 0.1537957348 0.0075272231 0.0050349383 
20.1600000000 0.2053816136 0.1539843321 0.0075090763 0.0050253757 
20.1700000000 0.2050322130 0.1541685167 0.0074989434 0.0050451016 
20.1800000000 0.2046865005 0.1543543578 0.0074970214 0.0050459806 
20.1900000000 0.2043440797 0.1545402517 0.0074762251 0.0050544007 
20.2000000000 0.2040037357 0.1547275970 0.0074585279 0.0050648928 
20.2100000000 0.2036695814 0.1549161745 0.0074475763 0.0050400622 
20.2200000000 0.2033410550 0.1551042604 0.0074620005 0.0049929643 
20.2300000000 0.2030161048 0.1552933204 0.0074512410 0.0049529009 
20.2400000000 0.2026933778 0.1554847950 0.0074498868 0.0049180441 
20.2500000000 0.2023731589 0.1556783590 0.0074487496 0.0048889656 
20.2600000000 0.2020588438 0.1558695701 0.0074563525 0.0048637427 
20.2700000000 0.2017485510 0.1560625413 0.0074631991 0.0048347804 
20.2800000000 0.2014478366 0.1562575103 0.0074780916 0.0048375464 
20.2900000000 0.2011464496 0.1564527431 0.0074912974 0.0048350835 
20.3000000000 0.2008493422 0.1566461710 0.0075118044 0.0048353699 
20.3100000000 0.2005580591 0.1568354108 0.0075297384 0.0048451247 
20.3200000000 0.2002709295 0.1570270565 0.0075541660 0.0048478406 
20.3300000000 0.1999853206 0.1572181950 0.0075751878 0.0048591460 
20.3400000000 0.1997042176 0.1574115267 0.0076018280 0.0048622851 
20.3500000000 0.1994277054 0.1576041385 0.0076292626 0.0048730570 
20.3600000000 0.1991570398 0.1577970589 0.0076520836 0.0048746793 
20.3700000000 0.1988907627 0.1579904521 0.0076791144 0.0048829048 
20.3800000000 0.1986252009 0.1581855244 0.0077048049 0.0048897611 
20.3900000000 0.1983646596 0.1583793829 0.0077295456 0.0048932935 
20.4000000000 0.1981101583 0.1585746231 0.0076396678 0.0048944799 
20.4100000000 0.1978604115 0.1587696815 0.0075736929 0.0048533476 
20.4200000000 0.1976154522 0.1589646874 0.0075055111 0.0047999613 
20.4300000000 0.1973725309 0.1591591884 0.0074397975 0.0047503017 
20.4400000000 0.1971354626 0.1593533029 0.0073712089 0.0046962670 
20.4500000000 0.1968993387 0.1595465684 0.0072979451 0.0046751610 
20.4600000000 0.1966685301 0.1597403693 0.0072494752 0.0046380628 
20.4700000000 0.1964430341 0.1599331487 0.0071957828 0.0046031512 
20.4800000000 0.1962207846 0.1601207769 0.0071431412 0.0045905509 
20.4900000000 0.1960037214 0.1603120003 0.0071044515 0.0045793397 
20.5000000000 0.1957918183 0.1605031836 0.0070871023 0.0045487812 
20.5100000000 0.1955850438 0.1606915539 0.0070619210 0.0045386176 
20.5200000000 0.1953803734 0.1608794553 0.0070645257 0.0045283732 
20.5300000000 0.1951810556 0.1610705672 0.0070582092 0.0045376793 
20.5400000000 0.1949846168 0.1612611588 0.0070708442 0.0045459463 
20.5500000000 0.1947937322 0.1614497075 0.0070501316 0.0045730925 
20.5600000000 0.1946081937 0.1616362836 0.0070471786 0.0045982495 
20.5700000000 0.1944251444 0.1618270685 0.0070413340 0.0046417321 
20.5800000000 0.1942476017 0.1620155215 0.0070523268 0.0046710442 
20.5900000000 0.1940754817 0.1622028390 0.0070596103 0.0047186401 
20.6000000000 0.1939060298 0.1623927973 0.0070828823 0.0047623861 
20.6100000000 0.1937421244 0.1625772460 0.0071016029 0.0046930248 
20.6200000000 0.1935815109 0.1627640715 0.0071355166 0.0046184807 
20.6300000000 0.1934264918 0.1629493434 0.0071844669 0.0045599113 
20.6400000000 0.1932744532 0.1631368769 0.0072276576 0.0045259820 
20.6500000000 0.1931280849 0.1633227081 0.0072853195 0.0044756277 
20.6600000000 0.1929872603 0.1635106712 0.0073437924 0.0044487897 
20.6700000000 0.1928494730 0.1636967659 0.0073856863 0.0044470142 
20.6800000000 0.1927172715 0.1638848476 0.0074502405 0.0044452708 
20.6900000000 0.1925882206 0.1640708777 0.0075282777 0.0044249859 
20.7000000000 0.1924624881 0.1642600718 0.0075974912 0.0044264273 
20.7100000000 0.1923422002 0.1644469462 0.0076904142 0.0044377941 
20.7200000000 0.1922250352 0.1646314918 0.0077811565 0.0044584785 
20.7300000000 0.1921133003 0.1648176212 0.0078841274 0.0044995728 
20.7400000000 0.1920047516 0.1650012006 0.0080083025 0.0045192282 
20.7500000000 0.1919015978 0.1651861605 0.0081119292 0.0045721830 
20.7600000000 0.1918036571 0.1653736848 0.0082025624 0.0046101555 
20.7700000000 0.1917096662 0.1655583248 0.0080344496 0.0046670441 
20.7800000000 0.1916211802 0.1657408757 0.0078783966 0.0047311726 
20.7900000000 0.1915361447 0.1659245823 0.0077427280 0.0048139753 
20.8000000000 0.1914565321 0.1661105696 0.0076165447 0.0049175374 
20.8100000000 0.1913803625 0.1662976792 0.0075216751 0.0048053739 
20.8200000000 0.1913086758 0.1664773616 0.0074344388 0.0047107773 
20.8300000000 0.1912387320 0.1666585836 0.0073533008 0.0046354349 
20.8400000000 0.1911735519 0.1668417428 0.0072884546 0.0045763402 
20.8500000000 0.1911140162 0.1670257032 0.0072416577 0.0045204310 
20.8600000000 0.1910583418 0.1672123216 0.0072100386 0.0044942514 
20.8700000000 0.1910081611 0.1673955843 0.0071806806 0.0044697254 
20.8800000000 0.1909607202 0.1675805999 0.0071675346 0.0044588206 
20.8900000000 0.1909197933 0.1677670288 0.0071676468 0.0044416152 
20.9000000000 0.1908826679 0.1679498528 0.0071460553 0.0044240917 
20.9100000000 0.1908494551 0.1681289085 0.0071523411 0.0044480621 
20.9200000000 0.1908203429 0.1683099953 0.0071859348 0.0044867021 
20.9300000000 0.1907947744 0.1684914579 0.0072335362 0.0045371298 
20.9400000000 0.1907757178 0.1686742442 0.0072706687 0.0045792554 
20.9500000000 0.1907604368 0.1688537168 0.0073210934 0.0046323269 
20.9600000000 0.1907490232 0.1690397910 0.0073681535 0.0047288777 
20.9700000000 0.1907412546 0.1692268563 0.0074702174 0.0048007993 
20.9800000000 0.1907388133 0.1694153239 0.0075467752 0.0048984087 
20.9900000000 0.1907402693 0.1696005135 0.0076491133 0.0050247999 
21.0000000000 0.1907442348 0.1697869189 0.0077760129 0.0051531484 
21.0100000000 0.1907548631 0.1699698405 0.0078928347 0.0050134290 
21.0200000000 0.1907693905 0.1701537781 0.0080183250 0.0049163733 
21.0300000000 0.1907878867 0.1703382804 0.0081624207 0.0048046568 
21.0400000000 0.1908116917 0.1705249901 0.0083013372 0.0047035942 
21.0500000000 0.1908393698 0.1707122608 0.0084417808 0.0046554424 
21.0600000000 0.1908715239 0.1709010831 0.0086068878 0.0046012351 
21.0700000000 0.1909079775 0.1710857377 0.0087594118 0.0045984598 
21.0800000000 0.1909483045 0.1712706513 0.0089659071 0.0045817792 
21.0900000000 0.1909913058 0.1714617704 0.0091431559 0.0045576722 
21.1000000000 0.1910401152 0.1716490159 0.0093297900 0.0045836696 
21.1100000000 0.1910927241 0.1718374220 0.0090852752 0.0045948203 
21.1200000000 0.1911473065 0.1720268782 0.0088350492 0.0046400546 
21.1300000000 0.1912080490 0.1722174205 0.0086379386 0.0046997484 
21.1400000000 0.1912711827 0.1724038970 0.0084494596 0.0047662928 
21.1500000000 0.1913404170 0.1725954090 0.0082986140 0.0048821477 
21.1600000000 0.1914135205 0.1727878249 0.0081520924 0.0049670815 
21.1700000000 0.1914884980 0.1729759891 0.0080194087 0.0050894365 
21.1800000000 0.1915698960 0.1731704822 0.0079354379 0.0052068207 
21.1900000000 0.1916532591 0.1733603392 0.0078568276 0.0053377873 
21.2000000000 0.1917433122 0.1735554361 0.0077934975 0.0055062253 
21.2100000000 0.1918351579 0.1737469732 0.0077557213 0.0053329099 
21.2200000000 0.1919304038 0.1739437992 0.0077217094 0.0051969803 
21.2300000000 0.1920298103 0.1741370793 0.0077125435 0.0051087006 
21.2400000000 0.1921327497 0.1743356795 0.0077336581 0.0050024086 
21.2500000000 0.1922422684 0.1745293909 0.0077574964 0.0049302234 
21.2600000000 0.1923534081 0.1747290141 0.0077876599 0.0049030428 
21.2700000000 0.1924690044 0.1749239378 0.0078473468 0.0048858641 
21.2800000000 0.1925881492 0.1751195360 0.0078887937 0.0048710268 
21.2900000000 0.1927116365 0.1753152389 0.0079595991 0.0048627618 
21.3000000000 0.1928387720 0.1755115865 0.0080535916 0.0048844067 
21.3100000000 0.1929671257 0.1757127532 0.0081562799 0.0049145316 
21.3200000000 0.1931021950 0.1759097604 0.0082887690 0.0049868028 
21.3300000000 0.1932385421 0.1761072643 0.0084158857 0.0050388460 
21.3400000000 0.1933813466 0.1763036801 0.0085513117 0.0051203910 
21.3500000000 0.1935252309 0.1765012296 0.0087166393 0.0052102766 
21.3600000000 0.1936759424 0.1767033191 0.0088908262 0.0053205411 
21.3700000000 0.1938277847 0.1769000099 0.0090871764 0.0054612031 
21.3800000000 0.1939839981 0.1770975969 0.0092921481 0.0056247878 
21.3900000000 0.1941431919 0.1772994620 0.0095282786 0.0057970143 
21.4000000000 0.1943066279 0.1775014158 0.0097737512 0.0060123563 
21.4100000000 0.1944707930 0.1776984523 0.0094320902 0.0058553197 
21.4200000000 0.1946418008 0.1778994577 0.0091244082 0.0057075185 
21.4300000000 0.1948135891 0.1781002448 0.0088277938 0.0056018521 
21.4400000000 0.1949925403 0.1783015354 0.0085758633 0.0055037541 
21.4500000000 0.1951723715 0.1785008991 0.0083697939 0.0054335033 
21.4600000000 0.1953565945 0.1786996931 0.0082054138 0.0053692364 
21.4700000000 0.1955481713 0.1788978502 0.0080483920 0.0053572997 
21.4800000000 0.1957398465 0.1791002261 0.0079169510 0.0053502572 
21.4900000000 0.1959358840 0.1793020119 0.0077910952 0.0053677682 
21.5000000000 0.1961324653 0.1795030273 0.0077261102 0.0053895374 
21.5100000000 0.1963362371 0.1796981370 0.0076809570 0.0054274207 
21.5200000000 0.1965395875 0.1798961558 0.0076567383 0.0054836254 
21.5300000000 0.1967482973 0.1800930820 0.0076487179 0.0055636661 
21.5400000000 0.1969604915 0.1802887182 0.0076431904 0.0056478015 
21.5500000000 0.1971760892 0.1804836355 0.0076733967 0.0057633558 
21.5600000000 0.1973919526 0.1806809756 0.0077057849 0.0059096368 
21.5700000000 0.1976119585 0.1808768578 0.0077403622 0.0060608127 
21.5800000000 0.1978395701 0.1810710678 0.0078136410 0.0062382205 
21.5900000000 0.1980676302 0.1812641087 0.0079050431 0.0064351748 
21.6000000000 0.1983001065 0.1814589835 0.0080169912 0.0066379590 
21.6100000000 0.1985328470 0.1816519500 0.0081323370 0.0064484117 
21.6200000000 0.1987685707 0.1818434511 0.0082663101 0.0062908048 
21.6300000000 0.1990089860 0.1820325293 0.0084289721 0.0061401430 
21.6400000000 0.1992538728 0.1822192977 0.0086087168 0.0060154525 
21.6500000000 0.1995019384 0.1824035212 0.0088077527 0.0059350501 
21.6600000000 0.1997500575 0.1825890378 0.0090116162 0.0058770161 
21.6700000000 0.2000026957 0.1827719158 0.0092614567 0.0058469219 
21.6800000000 0.2002552749 0.1829515600 0.0094968674 0.0058434149 
21.6900000000 0.2005153747 0.1831281906 0.0091907407 0.0058415846 
21.7000000000 0.2007784668 0.1833016828 0.0089543158 0.0058549986 
21.7100000000 0.2010433079 0.1834755504 0.0087379411 0.0059116511 
21.7200000000 0.2013126222 0.1836460180 0.0085615116 0.0059837599 
21.7300000000 0.2015803337 0.1838177782 0.0084144756 0.0060578913 
21.7400000000 0.2018521923 0.1839863464 0.0083028678 0.0061722769 
21.7500000000 0.2021240259 0.1841506561 0.0081947104 0.0063007874 
21.7600000000 0.2023999669 0.1843111011 0.0081243078 0.0064456594 
21.7700000000 0.2026836289 0.1844668393 0.0080671761 0.0066005065 
21.7800000000 0.2029675348 0.1846213561 0.0080399655 0.0067722089 
21.7900000000 0.2032558735 0.1847768881 0.0080324116 0.0069748865 
21.8000000000 0.2035422460 0.1849274372 0.0080384848 0.0071957365 
21.8100000000 0.2038349218 0.1850737630 0.0080631619 0.0069651711 
21.8200000000 0.2041302983 0.1852147912 0.0081011906 0.0067819646 
21.8300000000 0.2044253041 0.1853561738 0.0081580252 0.0066188021 
21.8400000000 0.2047249304 0.1854950558 0.0082286809 0.0065039521 
21.8500000000 0.2050241323 0.1856282896 0.0083329137 0.0064057553 
21.8600000000 0.2053275714 0.1857566174 0.0084386510 0.0063334693 
21.8700000000 0.2056357691 0.1858837711 0.0085646131 0.0062758442 
21.8800000000 0.2059436128 0.1860048526 0.0086929965 0.0062536757 
21.8900000000 0.2062562270 0.1861206055 0.0088587353 0.0062425874 
21.9000000000 0.2065684560 0.1862347056 0.0090416873 0.0062651652 
21.9100000000 0.2068830329 0.1863451989 0.0092349789 0.0063003110 
21.9200000000 0.2072043763 0.1864500569 0.0094462415 0.0063567594 
21.9300000000 0.2075233589 0.1865528127 0.0096995254 0.0064474394 
21.9400000000 0.2078491821 0.1866489209 0.0099415819 0.0065521669 
21.9500000000 0.2081725917 0.1867379276 0.0096785059 0.0066549516 
21.9600000000 0.2085003532 0.1868256595 0.0094389767 0.0067727860 
21.9700000000 0.2088330490 0.1869065202 0.0092440165 0.0069290085 
21.9800000000 0.2091631842 0.1869865684 0.0090935783 0.0070842699 
21.9900000000 0.2095002857 0.1870597276 0.0089607020 0.0072685264 
22.0000000000 0.2098348007 0.1871259156 0.0088633923 0.0074957303 
22.0100000000 0.2101763801 0.1871883876 0.0087809031 0.0072826577 
22.0200000000 0.2105205019 0.1872452995 0.0087186598 0.0071141988 
22.0300000000 0.2108603361 0.1873011789 0.0086861544 0.0069762658 
22.0400000000 0.2112050048 0.1873492319 0.0086652418 0.0068555049 
22.0500000000 0.2115467593 0.1873939119 0.0086595848 0.0067715038 
22.0600000000 0.2118955413 0.1874316407 0.0086703120 0.0067215942 
22.0700000000 0.2122466353 0.1874648959 0.0086917942 0.0066842978 
22.0800000000 0.2125999573 0.1874913236 0.0087402553 0.0066781029 
22.0900000000 0.2129556430 0.1875162031 0.0088040472 0.0066926487 
22.1000000000 0.2133136628 0.1875363432 0.0088794179 0.0067185394 
22.1100000000 0.2136741064 0.1875498674 0.0089839345 0.0067604904 
22.1200000000 0.2140358862 0.1875598009 0.0091062971 0.0068333635 
22.1300000000 0.2143971835 0.1875619336 0.0092512709 0.0069038728 
22.1400000000 0.2147636662 0.1875623524 0.0093982388 0.0070067657 
22.1500000000 0.2151272747 0.1875577190 0.0095723319 0.0071368420 
22.1600000000 0.2154984815 0.1875470150 0.0097694243 0.0072881175 
22.1700000000 0.2158668833 0.1875328063 0.0099694635 0.0074475226 
22.1800000000 0.2162365135 0.1875151806 0.0102094477 0.0076301414 
22.1900000000 0.2166108861 0.1874918923 0.0104672879 0.0078371307 
22.2000000000 0.2169853496 0.1874652096 0.0102056726 0.0080811464 
22.2100000000 0.2173621236 0.1874332511 0.0099709185 0.0078552066 
22.2200000000 0.2177415033 0.1873961224 0.0097950477 0.0076756385 
22.2300000000 0.2181233179 0.1873553864 0.0096449016 0.0075383494 
22.2400000000 0.2185012455 0.1873092379 0.0095309867 0.0074394706 
22.2500000000 0.2188839469 0.1872584649 0.0094494090 0.0073610270 
22.2600000000 0.2192721598 0.1872023444 0.0093735290 0.0072969113 
22.2700000000 0.2196575319 0.1871449410 0.0093250877 0.0072580931 
22.2800000000 0.2200443219 0.1870821064 0.0092948410 0.0072485934 
22.2900000000 0.2204306712 0.1870138409 0.0092781249 0.0072542025 
22.3000000000 0.2208224841 0.1869418502 0.0092915952 0.0072875391 
22.3100000000 0.2212113312 0.1868660315 0.0093044363 0.0073186210 
22.3200000000 0.2216042628 0.1867874756 0.0093389172 0.0073720558 
22.3300000000 0.2219941795 0.1867033418 0.0093795417 0.0074414837 
22.3400000000 0.2223895524 0.1866134556 0.0094429551 0.0075278040 
22.3500000000 0.2227906549 0.1865208632 0.0095207963 0.0076405947 
22.3600000000 0.2231876240 0.1864272043 0.0096079954 0.0077739062 
22.3700000000 0.2235903333 0.1863242907 0.0097231178 0.0079159025 
22.3800000000 0.2239902368 0.1862186402 0.0098424090 0.0080744953 
22.3900000000 0.2243917972 0.1861067579 0.0099751212 0.0082730098 
22.4000000000 0.2247903485 0.1859883837 0.0101290487 0.0084984982 
22.4100000000 0.2251973176 0.1858670660 0.0103059670 0.0083151559 
22.4200000000 0.2256014962 0.1857407454 0.0105015787 0.0081603702 
22.4300000000 0.2260074087 0.1856073123 0.0107238133 0.0080460342 
22.4400000000 0.2264137539 0.1854705709 0.0105146834 0.0079678579 
22.4500000000 0.2268226433 0.1853261904 0.0103341901 0.0078873243 
22.4600000000 0.2272307465 0.1851781740 0.0101947656 0.0078441737 
22.4700000000 0.2276414347 0.1850218750 0.0100910704 0.0078177655 
22.4800000000 0.2280526865 0.1848571144 0.0100085583 0.0078136514 
22.4900000000 0.2284659021 0.1846833618 0.0099486242 0.0078241483 
22.5000000000 0.2288763332 0.1845051383 0.0099044875 0.0078490219 
22.5100000000 0.2292927578 0.1843171404 0.0098822257 0.0078952372 
22.5200000000 0.2297052386 0.1841241693 0.0098728917 0.0079571302 
22.5300000000 0.2301238054 0.1839205868 0.0098818892 0.0080366989 
22.5400000000 0.2305397505 0.1837095620 0.0098966094 0.0081345501 
22.5500000000 0.2309577589 0.1834870914 0.0099122011 0.0082309217 
22.5600000000 0.2313765583 0.1832585825 0.0099453363 0.0083475219 
22.5700000000 0.2317981961 0.1830177466 0.0099906110 0.0084862910 
22.5800000000 0.2322166167 0.1827595048 0.0100481231 0.0086503060 
22.5900000000 0.2326322742 0.1824944883 0.0101145375 0.0088410200 
22.6000000000 0.2330499073 0.1822159723 0.0101960662 0.0090560483 
