t q1 q2 q3 q4 q5 
14.1000000000 0.0016480775 0.0042516366 0.0087562505 0.0288986544 0.0446029615 
14.4000000000 0.0016625763 0.0050756182 0.0074612300 0.0244293133 0.0414509339 
14.7000000000 0.0016979215 0.0054937125 0.0087603473 0.0183562032 0.0336411453 
15.0000000000 0.0017573800 0.0056449000 0.0091849930 0.0187156971 0.0274600209 
15.3000000000 0.0018116141 0.0057746654 0.0094584829 0.0203929819 0.0282517234 
15.6000000000 0.0018225337 0.0059065938 0.0096338886 0.0209319674 0.0300774566 
15.9000000000 0.0017813528 0.0059430655 0.0097140185 0.0211291647 0.0309705664 
16.2000000000 0.0017813887 0.0058287114 0.0095819706 0.0211557965 0.0314420821 
16.5000000000 0.0017893234 0.0056943272 0.0093182016 0.0209629787 0.0310650868 
16.8000000000 0.0017465501 0.0054795231 0.0089686429 0.0202278925 0.0303646133 
17.1000000000 0.0016756117 0.0051916459 0.0085876807 0.0193845636 0.0294132448 
17.4000000000 0.0015389062 0.0050154986 0.0082359606 0.0183572518 0.0278494307 
17.7000000000 0.0014264780 0.0046771695 0.0077876196 0.0174817436 0.0264531555 
18.0000000000 0.0013821309 0.0043291125 0.0073389970 0.0169670418 0.0258093471 
18.3000000000 0.0013278443 0.0040338636 0.0069036420 0.0162366309 0.0244314380 
18.6000000000 0.0012475053 0.0037769255 0.0063136894 0.0137703537 0.0221134386 
18.9000000000 0.0011734207 0.0035537500 0.0058302869 0.0100461903 0.0174565166 
19.2000000000 0.0010846839 0.0032667757 0.0053685477 0.0058608086 0.0101046298 
19.5000000000 0.0010480462 0.0030493682 0.0048861353 0.0050735558 0.0069718559 
19.8000000000 0.0009806164 0.0028305935 0.0045242481 0.0060708420 0.0088081860 
20.1000000000 0.0009192765 0.0028896856 0.0043782163 0.0072647660 0.0104847205 
20.4000000000 0.0009431038 0.0030115217 0.0046623202 0.0082674223 0.0119898298 
20.7000000000 0.0010811894 0.0035071403 0.0052846060 0.0098937061 0.0142218317 
21.0000000000 0.0011824542 0.0041131319 0.0060821754 0.0116116068 0.0169824865 
21.3000000000 0.0014167853 0.0045427206 0.0071040703 0.0139113634 0.0198164578 
21.6000000000 0.0016083540 0.0050964480 0.0079608752 0.0160756240 0.0231472976 
21.9000000000 0.0018506240 0.0056593018 0.0088846330 0.0182582759 0.0263875734 
22.2000000000 0.0021054084 0.0061372278 0.0097763975 0.0204580452 0.0296786424 
22.5000000000 0.0024290316 0.0066293636 0.0106217936 0.0224384307 0.0324888976 
22.8000000000 0.0026650633 0.0072418612 0.0114580534 0.0242389883 0.0353035396 
23.1000000000 0.0028350530 0.0077245938 0.0121981734 0.0262490454 0.0379035043 
23.4000000000 0.0030223629 0.0082173176 0.0129842038 0.0279005812 0.0404393630 
23.7000000000 0.0031593853 0.0086162604 0.0136850741 0.0296808015 0.0428761921 
24.0000000000 0.0032665268 0.0089428920 0.0142951274 0.0308775350 0.0448189082 
24.3000000000 0.0033151992 0.0092517318 0.0147322427 0.0318534644 0.0464457853 
24.6000000000 0.0033135161 0.0094633151 0.0151046792 0.0324906817 0.0475939335 
24.9000000000 0.0032657646 0.0096116302 0.0153752281 0.0326998564 0.0480663441 
25.2000000000 0.0031394748 0.0096312115 0.0154705917 0.0324254220 0.0478569362 
25.5000000000 0.0030906992 0.0096020722 0.0154781422 0.0314200441 0.0467919557 
25.8000000000 0.0030505482 0.0094547800 0.0154219113 0.0298950265 0.0449226735 
26.1000000000 0.0029451207 0.0092561019 0.0152518762 0.0277860087 0.0427209955 
26.4000000000 0.0028255153 0.0089468099 0.0148875793 0.0254983206 0.0398173736 
26.7000000000 0.0027034761 0.0085666022 0.0143205472 0.0234363632 0.0360826151 
27.0000000000 0.0024340806 0.0079912349 0.0135425854 0.0217331370 0.0329329262 
27.3000000000 0.0019892179 0.0071606370 0.0125091223 0.0204934598 0.0301063118 
27.6000000000 0.0016085029 0.0060516573 0.0109731358 0.0190056193 0.0275645584 
27.9000000000 0.0015016835 0.0050233237 0.0092712859 0.0186260697 0.0259637101 
28.2000000000 0.0015888863 0.0047341464 0.0081289656 0.0143442479 0.0252383690 
28.5000000000 0.0016855241 0.0051120222 0.0082039225 0.0091368494 0.0215517853 
28.8000000000 0.0017230988 0.0052973932 0.0085405334 0.0047905722 0.0217651679 
29.1000000000 0.0017234686 0.0053873205 0.0087732987 0.0074963681 0.0073460264 
29.4000000000 0.0016808708 0.0054422408 0.0089174695 0.0108495885 0.0131394292 
29.7000000000 0.0015941014 0.0054136915 0.0090023463 0.0114806252 0.0137859795 
30.0000000000 0.0015760117 0.0052934400 0.0089540987 0.0112475263 0.0175173097 
30.3000000000 0.0014793315 0.0051146464 0.0087639376 0.0112628173 0.0179691158 
30.6000000000 0.0013670705 0.0049045091 0.0084916727 0.0122436495 0.0165279873 
30.9000000000 0.0012615696 0.0046258868 0.0081390576 0.0129548391 0.0169235056 
31.2000000000 0.0011817408 0.0044033821 0.0076793968 0.0138253591 0.0174160389 
31.5000000000 0.0010853403 0.0041255260 0.0072829723 0.0143481906 0.0168505907 
31.8000000000 0.0009964592 0.0038934629 0.0069517181 0.0146261293 0.0167257076 
32.1000000000 0.0009504266 0.0036244556 0.0065593434 0.0146082056 0.0171986312 
32.4000000000 0.0008352748 0.0034360057 0.0062085185 0.0145304419 0.0180422358 
32.7000000000 0.0008241692 0.0032995944 0.0059608625 0.0141862693 0.0188296520 
33.0000000000 0.0008816851 0.0032265646 0.0057956450 0.0139103935 0.0193089959 
33.3000000000 0.0009346867 0.0033524791 0.0057225677 0.0138023265 0.0198396521 
33.6000000000 0.0010880455 0.0035476081 0.0058816475 0.0139495842 0.0203724124 
33.9000000000 0.0010925015 0.0037324693 0.0061921709 0.0141579322 0.0209741962 
