t q1 q2 q3 q4 q5 
1.4100000000 0.6287533174 0.6280569644 0.6271587736 0.6253949089 0.6232869277 
1.4200000000 0.6200468905 0.6193381709 0.6183713677 0.6166018864 0.6144441436 
1.4300000000 0.6113561411 0.6106269286 0.6097020523 0.6077693076 0.6056385116 
1.4400000000 0.6027226312 0.6020238428 0.6010441125 0.5989605652 0.5968184198 
1.4500000000 0.5941040075 0.5934378814 0.5924149250 0.5902323043 0.5880359239 
1.4600000000 0.5855650176 0.5848593898 0.5837969220 0.5816993265 0.5792386435 
1.4700000000 0.5770458245 0.5763819596 0.5753018982 0.5731266948 0.5705516507 
1.4800000000 0.5686076259 0.5679320531 0.5668504470 0.5646991249 0.5619567640 
1.4900000000 0.5601946835 0.5595040598 0.5584101243 0.5562311870 0.5532919864 
1.5000000000 0.5518591958 0.5511881431 0.5499807713 0.5477547366 0.5449486296 
1.5100000000 0.5435514691 0.5428942021 0.5417312330 0.5393585872 0.5365906148 
1.5200000000 0.5353339962 0.5346350260 0.5334928914 0.5309862603 0.5283439244 
1.5300000000 0.5271457928 0.5264668242 0.5252914803 0.5226185483 0.5200814551 
1.5400000000 0.5190336317 0.5183335506 0.5171226129 0.5145235884 0.5118587044 
1.5500000000 0.5109548100 0.5102242942 0.5090912153 0.5064662216 0.5036981709 
1.5600000000 0.5029560262 0.5022394332 0.5010708397 0.4983358840 0.4957019476 
1.5700000000 0.4949945428 0.4942785757 0.4931233685 0.4903513031 0.4876360348 
1.5800000000 0.4871147190 0.4863655723 0.4852127024 0.4824041491 0.4796633188 
1.5900000000 0.4792730724 0.4785578293 0.4774295225 0.4744917182 0.4716207246 
1.6000000000 0.4715111260 0.4707920024 0.4696832791 0.4666165324 0.4639270707 
1.6100000000 0.4637939806 0.4630762776 0.4619634031 0.4589640182 0.4563493812 
1.6200000000 0.4561556500 0.4554495652 0.4543023787 0.4513115373 0.4487021231 
1.6300000000 0.4485647366 0.4478726451 0.4467715352 0.4437631246 0.4410967586 
1.6400000000 0.4410594945 0.4403458867 0.4392671450 0.4362626054 0.4334909809 
1.6500000000 0.4336026613 0.4329046636 0.4318261384 0.4287994597 0.4261130296 
1.6600000000 0.4262297329 0.4255085027 0.4244115142 0.4213293630 0.4186651620 
1.6700000000 0.4189032550 0.4181641716 0.4170738505 0.4139376949 0.4112597629 
1.6800000000 0.4116575594 0.4109333568 0.4098526472 0.4066197064 0.4039037592 
1.6900000000 0.4044635952 0.4037475625 0.4026949987 0.3995198465 0.3967252024 
1.7000000000 0.3973616482 0.3966268912 0.3956041819 0.3924577474 0.3894762646 
1.7100000000 0.3903111212 0.3895861674 0.3885396561 0.3855111266 0.3824746356 
1.7200000000 0.3833473573 0.3825988303 0.3815872978 0.3786020334 0.3756347423 
1.7300000000 0.3764403341 0.3756765191 0.3747016703 0.3717403143 0.3687244381 
1.7400000000 0.3696214005 0.3688634384 0.3678693739 0.3649157047 0.3619944734 
1.7500000000 0.3628666926 0.3621039920 0.3611035839 0.3582063123 0.3551945644 
1.7600000000 0.3561684580 0.3553978660 0.3544600537 0.3515040605 0.3485281752 
1.7700000000 0.3495614978 0.3487837247 0.3478471086 0.3449446080 0.3419554431 
1.7800000000 0.3430129702 0.3422431595 0.3413278521 0.3384323072 0.3353118895 
1.7900000000 0.3365462055 0.3357509478 0.3348617929 0.3319966688 0.3288010446 
1.8000000000 0.3301395325 0.3293673462 0.3284291804 0.3256371509 0.3223341749 
1.8100000000 0.3238247314 0.3230457881 0.3221392795 0.3192852569 0.3159347275 
1.8200000000 0.3175708290 0.3167861129 0.3158925861 0.3129796849 0.3097510943 
1.8300000000 0.3113968761 0.3106194738 0.3097268230 0.3068345389 0.3037494547 
1.8400000000 0.3052877575 0.3045146563 0.3036037484 0.3007642657 0.2976769064 
1.8500000000 0.2992415545 0.2984853537 0.2976044032 0.2947634769 0.2916730985 
1.8600000000 0.2932852524 0.2925414161 0.2916659376 0.2888087964 0.2859185419 
1.8700000000 0.2873948262 0.2866567153 0.2858083797 0.2829462809 0.2800929595 
1.8800000000 0.2815857509 0.2808473508 0.2799927597 0.2771575379 0.2743367772 
1.8900000000 0.2758383996 0.2750829245 0.2742252638 0.2713767435 0.2685720258 
1.9000000000 0.2701637540 0.2694163993 0.2685928921 0.2657254020 0.2630405138 
1.9100000000 0.2645542231 0.2638228913 0.2630370515 0.2601526210 0.2575783515 
1.9200000000 0.2590262447 0.2582999440 0.2575507184 0.2546246760 0.2521060725 
1.9300000000 0.2535648450 0.2528548455 0.2521126693 0.2491897512 0.2467029678 
1.9400000000 0.2481876898 0.2474825003 0.2467347750 0.2438783836 0.2414451650 
1.9500000000 0.2428765405 0.2421642431 0.2414524718 0.2386879946 0.2362581425 
1.9600000000 0.2376430091 0.2369381609 0.2362586368 0.2335420338 0.2312025351 
1.9700000000 0.2324788850 0.2317903551 0.2311131456 0.2284902719 0.2262177904 
1.9800000000 0.2273942747 0.2266987075 0.2260645920 0.2234825047 0.2211617471 
1.9900000000 0.2223764712 0.2216749820 0.2210755653 0.2186039068 0.2163551578 
2.0000000000 0.2174246115 0.2167503175 0.2161622690 0.2136623747 0.2116199151 
2.0100000000 0.2125418568 0.2118960199 0.2113371661 0.2088496789 0.2068133002 
2.0200000000 0.2077405937 0.2071096144 0.2065603047 0.2040455189 0.2021363140 
2.0300000000 0.2030059648 0.2023903395 0.2018474855 0.1994098490 0.1975308810 
2.0400000000 0.1983456589 0.1977269470 0.1972114806 0.1947832997 0.1929974433 
2.0500000000 0.1937558270 0.1931390129 0.1926736529 0.1902856227 0.1885928976 
2.0600000000 0.1892380586 0.1886209815 0.1881888634 0.1858836759 0.1841165417 
2.0700000000 0.1847868270 0.1841926077 0.1837917779 0.1815238385 0.1798322771 
2.0800000000 0.1804083215 0.1798342222 0.1794580768 0.1771877494 0.1756484885 
2.0900000000 0.1760993594 0.1755418487 0.1751770695 0.1729799210 0.1715935460 
2.1000000000 0.1718687624 0.1713216819 0.1709892701 0.1688683316 0.1676122334 
2.1100000000 0.1677080656 0.1671782196 0.1668545135 0.1647979215 0.1635609403 
2.1200000000 0.1636170776 0.1631070752 0.1628118686 0.1607282710 0.1596370638 
2.1300000000 0.1595985551 0.1591020151 0.1588220969 0.1567866424 0.1557871034 
2.1400000000 0.1556470260 0.1551556694 0.1548876533 0.1529813259 0.1520115448 
2.1500000000 0.1517647346 0.1512777502 0.1510351281 0.1493044333 0.1483237297 
2.1600000000 0.1479622626 0.1474682265 0.1472658460 0.1455663473 0.1447110652 
2.1700000000 0.1442294483 0.1437270640 0.1435791049 0.1419560034 0.1411741159 
2.1800000000 0.1405561732 0.1400620115 0.1399238723 0.1384440718 0.1377627459 
2.1900000000 0.1369522886 0.1364655147 0.1363602601 0.1349656913 0.1344268438 
2.2000000000 0.1334111608 0.1329521149 0.1328722319 0.1315865288 0.1311668828 
2.2100000000 0.1299390685 0.1294950325 0.1294369496 0.1282620690 0.1279833650 
2.2200000000 0.1265335266 0.1261233105 0.1260777939 0.1250369587 0.1249235997 
2.2300000000 0.1231993345 0.1228081907 0.1227857056 0.1218659506 0.1217625263 
2.2400000000 0.1199346302 0.1195732969 0.1195699476 0.1187534099 0.1186805944 
2.2500000000 0.1167417152 0.1164095606 0.1164390089 0.1157675423 0.1156046582 
2.2600000000 0.1136061065 0.1133068135 0.1133666014 0.1128107096 0.1126077966 
2.2700000000 0.1105399778 0.1102726031 0.1103738142 0.1099793931 0.1096906311 
2.2800000000 0.1075387262 0.1073097817 0.1074422955 0.1071596328 0.1068538040 
2.2900000000 0.1046070530 0.1044155808 0.1045885948 0.1043938974 0.1042775357 
2.3000000000 0.1017419344 0.1015794820 0.1017962546 0.1017296523 0.1017501220 
2.3100000000 0.0989461424 0.0988295521 0.0990634277 0.0991186400 0.0993032482 
2.3200000000 0.0962167118 0.0961487826 0.0964156639 0.0965927950 0.0969747038 
2.3300000000 0.0935549328 0.0935365204 0.0938338474 0.0941202061 0.0946123396 
2.3400000000 0.0909583258 0.0909670959 0.0913138732 0.0917492428 0.0923305909 
2.3500000000 0.0884348489 0.0884820221 0.0888495626 0.0894159793 0.0901297210 
2.3600000000 0.0859821538 0.0860694214 0.0864695232 0.0871163025 0.0880183313 
2.3700000000 0.0836028519 0.0837292814 0.0841515515 0.0849258298 0.0859876338 
2.3800000000 0.0812836135 0.0814305527 0.0819179128 0.0828380198 0.0840376635 
2.3900000000 0.0790353383 0.0792189383 0.0797152231 0.0807868466 0.0820925591 
2.4000000000 0.0768558896 0.0770803371 0.0776030203 0.0788552226 0.0802058770 
2.4100000000 0.0747481986 0.0750146003 0.0755490286 0.0769488698 0.0783815127 
2.4200000000 0.0727010354 0.0730084050 0.0735846584 0.0750956274 0.0767632441 
2.4300000000 0.0707264613 0.0710609462 0.0717022558 0.0733473022 0.0751505282 
2.4400000000 0.0688202838 0.0691892940 0.0698567658 0.0717134249 0.0736177041 
2.4500000000 0.0669841184 0.0673894747 0.0680967160 0.0701173472 0.0721472317 
2.4600000000 0.0652144682 0.0656639493 0.0664036468 0.0685524431 0.0707573758 
2.4700000000 0.0635154365 0.0639781396 0.0647748211 0.0671098642 0.0693738348 
2.4800000000 0.0618745830 0.0623778351 0.0632309365 0.0656998359 0.0681775020 
2.4900000000 0.0603048993 0.0608517385 0.0617270802 0.0643559318 0.0670422646 
2.5000000000 0.0587936792 0.0593995042 0.0603073912 0.0631200565 0.0658954827 
2.5100000000 0.0573559280 0.0580203390 0.0589512910 0.0619254061 0.0648380294 
2.5200000000 0.0559828191 0.0566987841 0.0576770102 0.0607711841 0.0638431760 
2.5300000000 0.0546805436 0.0554407796 0.0564371555 0.0597173509 0.0629355605 
2.5400000000 0.0534435790 0.0542548348 0.0552795543 0.0587067321 0.0620965480 
2.5500000000 0.0522768677 0.0531401488 0.0541848026 0.0577349145 0.0613237631 
2.5600000000 0.0511698332 0.0520733683 0.0531723815 0.0568607685 0.0605460841 
2.5700000000 0.0501319904 0.0510864384 0.0522199511 0.0560258222 0.0598332821 
2.5800000000 0.0491564662 0.0501599873 0.0513277415 0.0552304341 0.0592594849 
2.5900000000 0.0482467278 0.0492921607 0.0505086271 0.0545235088 0.0586771456 
2.6000000000 0.0473956912 0.0484916705 0.0497325004 0.0538530431 0.0581160771 
2.6100000000 0.0466081766 0.0477366327 0.0490294843 0.0533044388 0.0575562360 
2.6200000000 0.0458771691 0.0470515528 0.0483789317 0.0527463496 0.0571167243 
2.6300000000 0.0452088865 0.0464281850 0.0477795158 0.0522659320 0.0566810186 
2.6400000000 0.0445945471 0.0458576938 0.0472463418 0.0518158417 0.0562978654 
2.6500000000 0.0440391057 0.0453388729 0.0467589307 0.0514042663 0.0560056183 
2.6600000000 0.0435370986 0.0448663044 0.0463206658 0.0510242330 0.0557178470 
2.6700000000 0.0430870480 0.0444470926 0.0459122996 0.0506833888 0.0554698963 
2.6800000000 0.0426875816 0.0440732092 0.0455494231 0.0503912533 0.0552247667 
