t y 
0.0700000000 0.0000000000 
0.1500000000 0.0000000000 
0.2500000000 0.0000000000 
0.3900000000 0.0000000000 
0.6500000000 0.0000000000 
1.0000000000 0.0000000000 
1.2500000000 0.0000000000 
1.4700000000 0.0000000000 
1.6800000000 0.0000000000 
1.8900000000 0.0000000000 
2.1200000000 0.0000000000 
2.3800000000 0.0000000000 
2.6800000000 0.0000000000 
3.0100000000 0.0000000000 
3.3400000000 0.0000000000 
3.6600000000 0.0000000000 
3.9600000000 0.0000000000 
4.2500000000 0.0000000000 
4.5300000000 0.0000000000 
4.8000000000 0.0000000000 
5.0700000000 0.0000000000 
5.3400000000 0.0000000000 
5.6100000000 0.0000000000 
5.8800000000 0.0000000000 
6.1600000000 0.0000000000 
6.4600000000 0.0000000000 
6.7800000000 0.0000000000 
7.1300000000 0.0000000000 
7.5300000000 0.0000000000 
8.0000000000 0.0000000000 
8.5800000000 0.0000000000 
9.3100000000 0.0000000000 
10.1500000000 0.0000000000 
11.0800000000 0.0000000000 
12.3200000000 0.0000000000 
13.8000000000 0.0000000000 
14.4600000000 0.0000000000 
14.9000000000 0.0000000000 
15.2700000000 0.0000000000 
15.5900000000 0.0000000000 
15.8800000000 0.0000000000 
16.1500000000 0.0000000000 
16.4100000000 0.0000000000 
16.6600000000 0.0000000000 
16.9000000000 0.0000000000 
17.1400000000 0.0000000000 
17.3800000000 0.0000000000 
17.6200000000 0.0000000000 
17.8600000000 0.0000000000 
18.1100000000 0.0000000000 
18.3700000000 0.0000000000 
18.6400000000 0.0000000000 
18.9300000000 0.0000000000 
19.2500000000 0.0000000000 
19.6100000000 0.0000000000 
20.0000000000 0.0000000000 
20.3900000000 0.0000000000 
20.7600000000 0.0000000000 
21.1000000000 0.0000000000 
21.4000000000 0.0000000000 
21.6800000000 0.0000000000 
21.9400000000 0.0000000000 
22.1900000000 0.0000000000 
22.4300000000 0.0000000000 
22.6600000000 0.0000000000 
22.8900000000 0.0000000000 
23.1200000000 0.0000000000 
23.3500000000 0.0000000000 
23.5900000000 0.0000000000 
23.8300000000 0.0000000000 
24.0800000000 0.0000000000 
24.3500000000 0.0000000000 
24.6400000000 0.0000000000 
24.9600000000 0.0000000000 
25.3300000000 0.0000000000 
25.7800000000 0.0000000000 
26.3800000000 0.0000000000 
27.2300000000 0.0000000000 
28.0300000000 0.0000000000 
28.7000000000 0.0000000000 
29.3100000000 0.0000000000 
29.8700000000 0.0000000000 
30.4100000000 0.0000000000 
30.9400000000 0.0000000000 
31.4600000000 0.0000000000 
31.9700000000 0.0000000000 
32.4700000000 0.0000000000 
32.9400000000 0.0000000000 
33.3700000000 0.0000000000 
33.7700000000 0.0000000000 
34.1500000000 0.0000000000 
34.5000000000 0.0000000000 
34.8300000000 0.0000000000 
35.1500000000 0.0000000000 
35.4600000000 0.0000000000 
35.7600000000 0.0000000000 
36.0600000000 0.0000000000 
36.3600000000 0.0000000000 
36.6500000000 0.0000000000 
36.9400000000 0.0000000000 
37.2300000000 0.0000000000 
37.5100000000 0.0000000000 
37.7800000000 0.0000000000 
38.0500000000 0.0000000000 
38.3100000000 0.0000000000 
