t y 
8.0000000000 0.0000000000 
8.5800000000 0.0000000000 
9.3100000000 0.0000000000 
10.1500000000 0.0000000000 
11.0800000000 0.0000000000 
12.3200000000 0.0000000000 
13.8000000000 0.0000000000 
14.4600000000 0.0000000000 
14.9000000000 0.0000000000 
15.2700000000 0.0000000000 
15.5900000000 0.0000000000 
15.8800000000 0.0000000000 
